token,lemma,pronoun_type
-3me,3mina,"('pers ps1',)"
-Esimene,esimene,"('dem',)"
-Esimese,esimene,"('dem',)"
-Esimeses,esimene,"('dem',)"
-Esimest,esimene,"('dem',)"
-Iga,iga,"('det',)"
-Igal,iga,"('det',)"
-Igalt,iga,"('det',)"
-Ise,ise,"('pos', 'det', 'refl')"
-Keda,kes,"('inter rel',)"
-Kellel,kes,"('inter rel',)"
-Kellena,kes,"('inter rel',)"
-Kes,kes,"('inter rel',)"
-Kõige,kõik,"('det',)"
-Kõik,kõik,"('det',)"
-MA,mina,"('pers ps1',)"
-ME,mina,"('pers ps1',)"
-Ma,mina,"('pers ps1',)"
-Me,mina,"('pers ps1',)"
-Meie,mina,"('pers ps1',)"
-Meil,mina,"('pers ps1',)"
-Mida,mis,"('inter rel',)"
-Mille,mis,"('inter rel',)"
-Milline,milline,"('rel',)"
-Millised,milline,"('rel',)"
-Milliseks,milline,"('rel',)"
-Mina,mina,"('pers ps1',)"
-Mingid,mingi,"('indef',)"
-Minu,mina,"('pers ps1',)"
-Mis,mis,"('inter rel',)"
-Mitme,mitu,"('indef',)"
-Mitmel,mitu,"('indef',)"
-Mitu,mitu,"('indef',)"
-Mõned,mõni,"('indef',)"
-Nad,tema,"('pers ps3',)"
-Need,see,"('dem',)"
-Neid,see,"('dem',)"
-Neid,tema,"('pers ps3',)"
-Oma,oma,"('pos', 'det', 'refl')"
-Palju,palju,"('indef',)"
-Paljud,palju,"('indef',)"
-Sa,sina,"('pers ps2',)"
-Sama,sama,"('dem',)"
-Samas,sama,"('dem',)"
-Seda,see,"('dem',)"
-See,see,"('dem',)"
-Sel,see,"('dem',)"
-Selle,see,"('dem',)"
-Selleks,see,"('dem',)"
-Selles,see,"('dem',)"
-Selline,selline,"('dem',)"
-Sellisel,selline,"('dem',)"
-Sina,sina,"('pers ps2',)"
-Sinus,sina,"('pers ps2',)"
-Sinust,sina,"('pers ps2',)"
-Ta,tema,"('pers ps3',)"
-Talle,tema,"('pers ps3',)"
-Te,sina,"('pers ps2',)"
-Teie,sina,"('pers ps2',)"
-Teine,teine,"('dem',)"
-Teise,teine,"('dem',)"
-Teised,teine,"('dem',)"
-Teiseks,teine,"('dem',)"
-Teist,sina,"('pers ps2',)"
-Teist,teine,"('dem',)"
-Tema,tema,"('pers ps3',)"
-end,ise,"('pos', 'det', 'refl')"
-end-,ise,"('pos', 'det', 'refl')"
-endal,ise,"('pos', 'det', 'refl')"
-esimene,esimene,"('dem',)"
